id,source_dataset,original_label,num_generations,mean_pairwise_entailment,mean_pairwise_contradiction,mean_pairwise_neutral,fraction_entailing_pairs,fraction_contradicting_pairs,fraction_neutral_pairs,nli_disagreement
halueval-8465,halueval,1,5,0.97683969683876,0.004197381782132135,0.01896292137910776,1.0,0.0,0.0,0.013678842471686015
halueval-9667,halueval,1,5,0.46938410429396793,0.13741991468450482,0.39319598102152725,0.3,0.1,0.6,0.3340179051952684
halueval-8673,halueval,0,5,0.4005493923298439,0.5909254398484574,0.008525167821698713,0.4,0.6,0.0,0.5951880237593067
halueval-5554,halueval,0,5,0.970913928630489,0.009594869612545217,0.019491201756965983,1.0,0.0,0.0,0.01934047049102821
halueval-8298,halueval,0,5,0.445051568486467,0.2241013562502107,0.3308470752633223,0.5,0.4,0.1,0.38952489388187184
halueval-157,halueval,1,5,0.7911619610907993,0.03691711831568467,0.17192092059351602,1.0,0.0,0.0,0.12287757861244268
halueval-9946,halueval,1,5,0.6143873180290345,0.11002889016270874,0.2755837918082567,0.4,0.1,0.5,0.2478207860668371
halueval-7444,halueval,0,5,0.6882710273275254,0.0039292336947349665,0.3077997389777396,0.4,0.0,0.6,0.15782910318360477
halueval-1567,halueval,1,5,0.2997621897566021,0.6932490042215349,0.006988806021863,0.3,0.7,0.0,0.6967434072324664
halueval-5072,halueval,0,5,0.6972754968714088,0.01066492513379394,0.2920595779947973,1.0,0.0,0.0,0.1566947141311926
halueval-3409,halueval,1,5,0.30343623491434235,0.008184439429860142,0.6883793256557975,0.1,0.0,0.9,0.3523741022577589
halueval-6034,halueval,1,5,0.46831952684435707,0.30009876119988654,0.23158171195575633,0.3,0.4,0.3,0.41588961717776474
halueval-1239,halueval,0,5,0.29363886171991394,0.40640525850409903,0.29995587977598703,0.3,0.4,0.3,0.5563831983920926
halueval-4890,halueval,1,5,0.9891719777909069,0.002053307448355296,0.008774714760737785,1.0,0.0,0.0,0.006440664828724189
halueval-5462,halueval,0,5,0.5430612087915703,0.07291490756904115,0.3840238836393886,0.4,0.0,0.6,0.26492684938873545
halueval-1130,halueval,1,5,0.5106806866220353,0.004244621697250551,0.48507469168071393,0.1,0.0,0.9,0.2467819675376075
halueval-1717,halueval,1,5,0.6455358828512064,0.0012960627145611257,0.35316805443423227,0.4,0.0,0.6,0.17788008993167725
halueval-5853,halueval,0,5,0.5944330195151406,0.007715319222947999,0.3978516612619114,1.0,0.0,0.0,0.2066411498539037
halueval-9293,halueval,0,5,0.2951694958903376,0.5830494674734625,0.12178103663619996,0.2,0.6,0.2,0.6439399857915625
halueval-9363,halueval,0,5,0.8794849354594115,0.003324881836889633,0.11719018270369888,1.0,0.0,0.0,0.061919973188739076
halueval-9204,halueval,1,5,0.989693906422135,0.0022806370490649304,0.008025456528799955,1.0,0.0,0.0,0.006293365313464908
halueval-7635,halueval,1,5,0.7914101124606503,0.004203894557274277,0.20438599298207533,0.6,0.0,0.4,0.10639689104831195
halueval-1353,halueval,1,5,0.9894139806872075,0.0015502665754558928,0.009035752737336426,1.0,0.0,0.0,0.006068142944124106
halueval-6699,halueval,1,5,0.7848265889789311,0.031361048376219426,0.18381236264484951,0.9,0.0,0.1,0.12326722969864418
halueval-8917,halueval,1,5,0.9090710999497869,0.04490608021425913,0.046022819835954056,1.0,0.0,0.0,0.06791749013223616
halueval-184,halueval,0,5,0.9856930707102072,0.001196572085795194,0.013110357203997716,1.0,0.0,0.0,0.007751750687794052
halueval-7015,halueval,1,5,0.9852563655781921,0.0038929132320157634,0.010850721189792,1.0,0.0,0.0,0.009318273826911763
halueval-8121,halueval,1,5,0.9732265740547325,0.0019719230068239715,0.02480150293844361,1.0,0.0,0.0,0.014372674476045778
halueval-8119,halueval,1,5,0.3524896273650978,0.053432512468897006,0.5940778601660052,0.1,0.0,0.9,0.3504714425518996
halueval-3481,halueval,1,5,0.9892921825397188,0.0015624153607361638,0.009145402099545048,1.0,0.0,0.0,0.006135116410508687
halueval-2021,halueval,1,5,0.9864028131534169,0.0015173677157378235,0.0120798191308451,1.0,0.0,0.0,0.007557277281160374
halueval-7892,halueval,0,5,0.7923883568635566,0.002982811884175059,0.20462883125226844,0.6,0.0,0.4,0.10529722751030927
halueval-922,halueval,1,5,0.4172631726681596,0.5710671239718381,0.011669703360002203,0.4,0.6,0.0,0.5769019756518392
halueval-3618,halueval,1,5,0.9557540329497731,0.021486934541779336,0.02275903250844725,1.0,0.0,0.0,0.03286645079600296
halueval-3508,halueval,0,5,0.19832584189372143,0.7657131971832128,0.03596096092306574,0.2,0.8,0.0,0.7836936776447457
halueval-3756,halueval,0,5,0.45738243585628807,0.13537707783651542,0.40724048630719645,0.5,0.2,0.3,0.33899732099011365
halueval-2137,halueval,0,5,0.5942260144203108,0.3983917354162637,0.00738225016342559,0.6,0.4,0.0,0.40208286049797654
halueval-5978,halueval,0,5,0.7143600892767883,0.00843267947819033,0.27720723124502133,0.6,0.0,0.4,0.147036295100701
halueval-9235,halueval,1,5,0.6822687132863109,0.004892492575269783,0.31283879413841936,0.4,0.0,0.6,0.16131188964447946
halueval-3318,halueval,0,5,0.9894989650743472,0.0017166636448833973,0.008784371280769325,1.0,0.0,0.0,0.0061088492852680604
halueval-9699,halueval,1,5,0.9918186112731082,0.0009215287965168054,0.007259859930375102,1.0,0.0,0.0,0.004551458761704356
halueval-2408,halueval,0,5,0.9650242463376839,0.008271231597706288,0.026704522064609833,1.0,0.0,0.0,0.021623492630011204
halueval-1304,halueval,1,5,0.7883999781844111,0.007570013532628405,0.20403000828296033,0.6,0.0,0.4,0.10958501767410857
halueval-6032,halueval,1,5,0.5927890802153484,0.3990652178522546,0.008145701932397017,0.6,0.4,0.0,0.4031380688184531
halueval-8393,halueval,1,5,0.7844696884111981,0.005065373430957273,0.21046493815784487,0.6,0.0,0.4,0.1102978425098797
halueval-8469,halueval,0,5,0.9890049119499839,0.0016072823116324072,0.009387805738383711,1.0,0.0,0.0,0.006301185180824263
halueval-3137,halueval,0,5,0.7903796865720201,0.003739810773225985,0.20588050265475394,0.6,0.0,0.4,0.10668006210060295
halueval-3826,halueval,0,5,0.6503416048769581,0.04684104369168764,0.30281735143135424,0.6,0.0,0.4,0.19824971940736474
halueval-606,halueval,0,5,0.5995778634083486,0.0071660602680716015,0.39325607632357973,0.4,0.0,0.6,0.20379409842986146
halueval-7279,halueval,1,5,0.9839247514257744,0.0023742776360822304,0.013700970938143273,1.0,0.0,0.0,0.009224763105153867
halueval-2321,halueval,0,5,0.28272644274545355,0.6895286550938805,0.027744902160666014,0.3,0.7,0.0,0.7034011061742135
halueval-4864,halueval,0,5,0.027235395388678658,0.6301120880065555,0.3426525166047659,0.0,0.7,0.3,0.8014383463089385
halueval-5649,halueval,1,5,0.9670844024773511,0.012023328310437478,0.020892269212211524,1.0,0.0,0.0,0.02246946291654324
halueval-4829,halueval,1,5,0.31678945870398156,0.5409294655202392,0.14228107577577917,0.2,0.6,0.2,0.6120700034081288
