id,source_dataset,original_label,prompt,original_response,query_text,evidence_status,retrieved_rank_1,retrieved_rank_2,retrieved_rank_3,retrieved_rank_1_text,retrieved_rank_2_text,retrieved_rank_3_text,top1_evidence_similarity,mean_top3_evidence_similarity,response_top1_evidence_similarity,mean_response_top3_evidence_similarity,evidence_margin,retrieval_agreement
fever_148149,fever,1,Verify whether the following claim is supported by factual evidence.,Shut Up is by a car.,Shut Up is by a car.,insufficient_wikipedia_pointers_only,halueval_chunk_0858,halueval_chunk_0063,halueval_chunk_1273,"Knocked Up is a 2007 American romantic comedy film written, directed, and co-produced by Judd Apatow, and starring Seth Rogen, Katherine Heigl, Paul Rudd, and Leslie Mann.Seth Aaron Rogen ( ; born April 15, 1982) is an American-Canadian actor, comedian and filmmaker.","The song is from the ""Steal This Album! is the third studio album by Armenian American rock band System of a Down, released on November 26, 2002, on American Recordings.","""Invincible"" was also featured on the """" season finale commercials which aired on CBS from May 11–18, 2009 and on an episode of the MTV show Bully Beatdown as the entrance theme for the bully.Bully Beatdown was an American reality television series created by Mark Burnett which aired on MTV.",0.2695425748825073,0.23066671192646027,0.2695426344871521,0.23066674172878265,0.05737981200218201,0.0726532157402815
fever_171500,fever,0,Verify whether the following claim is supported by factual evidence.,Jiang Wen is an actor.,Jiang Wen is an actor.,insufficient_wikipedia_pointers_only,halueval_chunk_1279,halueval_chunk_0662,halueval_chunk_0542,"The group is composed of five members: Onew, Jonghyun, Key, Minho and Taemin.Lee Jin-ki (born (1989--) 14, 1989 ), better known by his stage name Onew, is a South Korean singer and actor.","Zhaoqing, formerly romanized as Shiuhing, is a prefecture-level city in Guangdong Province, China. During the 2010 census, its population was 3,918,467, with 1,232,462 living in the urbanized areas of Duanzhou District and Gaoyao County.Kangding (Chinese) or Dartsedo (Tibetan), is a city and the location of the seat of Garzê Tibetan Autonomous Prefecture in western Sichuan province of Southwest China. Kangding's urban center has around 100,000 inhabitants.","The Producers (; lit. Producer) is a 2015 South Korean sitcom starring Cha Tae-hyun, Gong Hyo-jin, Kim Soo-hyun, and IU.Lee Ji-eun (Korean: 이지은 ; born May 16, 1993), better known by her stage name IU (Korean: 아이유 ), is a South Korean singer, songwriter and actress. She signed with LOEN Entertainment in 2007 as a trainee and began her music career at the age of 15 with her debut album, ""Lost and Found"".",0.5150387287139893,0.48095367352167767,0.5150387287139893,0.4809536635875702,0.04421961307525635,0.2652648920753222
fever_192759,fever,1,Verify whether the following claim is supported by factual evidence.,The Colbert Report was taped Monday through Friday.,The Colbert Report was taped Monday through Friday.,insufficient_wikipedia_pointers_only,halueval_chunk_0246,halueval_chunk_0636,halueval_chunk_1096,"""Bart Carny"" is the twelfth episode of ""The Simpsons""<nowiki>'</nowiki> ninth season.""The Simpsons""' ninth season originally aired on the Fox network between September 1997 and May 1998, beginning on Sunday, September 21, 1997, with ""The City of New York vs. Homer Simpson"".","Richard L. Wolffe (born 17 September 1968) is a liberal British-American journalist, MSNBC commentator, and author of the Barack Obama books ""Renegade: The Making of a President"" (Crown, June 2009) and ""Revival: The Struggle for Survival Inside the Obama White House"" (Crown, November 2010).MSNBC (formerly stylized as msnbc) is an American news cable and satellite television network that provides news coverage and political commentary from NBC News on current events.","Sunday Life was a British magazine/discussion television programme broadcast on Sundays on BBC One beginning 20 April 2008. It was presented by Louise Minchin and Colin Jackson. The show, which replaced the ""Heaven and Earth Show"" was intended to focus on ""inspiring stories and thought-provoking discussion"", with the slogan ""Real stories.Colin Ray Jackson, CBE (born 18 February 1967) is a Welsh former sprint and hurdling athlete who specialised in the 110 metres hurdles.",0.31459569931030273,0.3069544931252797,0.31459566950798035,0.3069544732570648,0.010328203439712524,0.09897044464885596
fever_198217,fever,0,Verify whether the following claim is supported by factual evidence.,The second-largest planet in the Solar System is Saturn.,The second-largest planet in the Solar System is Saturn.,insufficient_wikipedia_pointers_only,halueval_chunk_1059,halueval_chunk_0057,halueval_chunk_0303,"Epacris is a genus of about 35–40 species of flowering plants in the family Ericaceae. With more than 2,000 species, it is also one of the largest genera of flowering plants, exceeded only by ""Astragalus"".",The Dhanush is a 155 mm towed howitzer used by the Indian Army.The Indian Army is the land-based branch and the largest component of the Indian Armed Forces.,"The band consists of Jared Leto (lead vocals, guitar, bass, keyboards), Shannon Leto (drums, percussion) and Tomo Miličević (lead guitar, bass, violin, keyboards, other instruments).Shannon Leto ( ; born March 9, 1970) is an American musician and songwriter best known as the drummer of rock band Thirty Seconds to Mars.",0.27223527431488037,0.2600027620792389,0.27223530411720276,0.26000282168388367,0.0170879065990448,0.07411205269454157
fever_49839,fever,1,Verify whether the following claim is supported by factual evidence.,Dakota Fanning is not American.,Dakota Fanning is not American.,insufficient_wikipedia_pointers_only,halueval_chunk_0137,halueval_chunk_1188,halueval_chunk_0618,"Nina Davuluri (born April 20, 1989) is an American public speaker and advocate, who is currently the host of the reality show, “Made In America,” on Zee TV America. As Miss America 2014, she was also the ""first contestant of Indian descent to win the Miss America Competition"" (as well as the second Asian American).Indian Americans or Indo-Americans are Americans whose ancestry belongs to any of the many ethnic groups of the Republic of India.","Prem Mathur is the first Indian woman commercial pilot and started flying for Deccan Airways. By the time it was merged with Indian Airlines in 1953, it had a fleet of thirteen Douglas DC-3 'Dakota' aircraft.","Christy Haubegger (born August 15, 1968) is the founder of ""Latina"" magazine and a film producer, and has received numerous awards for her work.Latina is an American lifestyle, entertainment, beauty and fashion magazine for bilingual, bicultural Hispanic women published in English by Latina Media Ventures.",0.48603489995002747,0.3865091900030772,0.48603492975234985,0.3865092098712921,0.1452740728855133,0.236229938454402
fever_67766,fever,0,Verify whether the following claim is supported by factual evidence.,The Cyclades are a group of islands.,The Cyclades are a group of islands.,insufficient_wikipedia_pointers_only,halueval_chunk_1288,halueval_chunk_0560,halueval_chunk_0340,"Macrozamia is a genus of 38–40 species of cycads, in the family Zamiaceae, all endemic to Australia.Hypericum is a genus of flowering plants in the family Hypericaceae (formerly often considered a subfamily of Clusiaceae).","Scilla ( ; Squill) is a genus of about 50 to 80 bulb-forming perennial herbs in the family Asparagaceae, subfamily Scilloideae, native to woodlands, subalpine meadows, and seashores throughout Europe, Africa and the Middle-East. A few species are also naturalized in Australia, New Zealand and North America.Anemonopsis, the false anemone, is a monotypic genus in the family Ranunculaceae, containing only the species Anemonopsis macrophylla, endemic to Japan's main island of Honshu.","Pylon were an American rock band from Athens, Georgia.Rivermaya is a Filipino rock band.",0.4016331732273102,0.364481657743454,0.40163320302963257,0.36448168754577637,0.036478668451309204,0.16130921780623986
halueval-223,halueval,1,"What shopping mall is the largest in south Texas, Malle del Norte or La Plaza Mall?","Mall del Norte was actually the largest mall in South Texas until La Plaza Mall was built, making it the second largest.","What shopping mall is the largest in south Texas, Malle del Norte or La Plaza Mall?",available,halueval_chunk_0321,halueval_chunk_0233,halueval_chunk_1496,"Mall del Norte is 1212515 sqft with over 160 stores, making it the 2nd largest mall in South Texas, and one of the largest malls in Texas overall. La Plaza Mall in McAllen, Texas is larger by 3,000 sq. feet.La Plaza Mall is a regional shopping mall located in McAllen, Texas, at the intersection of Interstate 2 (Expressway 83) and 10th Street. The mall is one of the highest-grossing operated by Simon, and the largest mall in south Texas.","It is one of three Mills landmarks in California that are now owned by Simon Property Group since April 2007.The Great Mall of the Bay Area (often simply called The Great Mall) is a large indoor outlet shopping mall in Milpitas, California built by Ford Motor Land Development and Petrie Dierman Kughn in 1994.","It is owned by Codding Enterprises and Simon Property Group, the latter of which also owns Santa Rosa Plaza. The mall is managed by Simon Property Group.",0.8460096120834351,0.616703450679779,0.853485107421875,0.5968319773674011,0.32392609119415283,0.7220566046489694
halueval-2767,halueval,1,Were William Boyd and Jim Thompson both screenwriters?,"William Boyd was a screenwriter, but Jim Thompson was not.",Were William Boyd and Jim Thompson both screenwriters?,available,halueval_chunk_1145,halueval_chunk_0828,halueval_chunk_1239,"William Boyd, CBE (born 7 March 1952) is a Scottish novelist and screenwriter.James Myers Thompson (September 27, 1906 – April 7, 1977) was an American author and screenwriter, known for his hardboiled crime fiction.","Stanley Lloyd Kaufman, Jr. (born December 30, 1945) is an American film director, producer, screenwriter, and actor.Víctor Erice Aras (] ; born 30 June 1940) is a Spanish film director.","Jeffrey Howard Archer, Baron Archer of Weston-super-Mare (born 15 April 1940) is an English novelist and politician.Thomas Clayton Wolfe (October 3, 1900 – September 15, 1938) was an American novelist of the early twentieth century.",0.7312949895858765,0.564645528793335,0.7578810453414917,0.5821645259857178,0.24649786949157715,0.5542346111603393
halueval-3120,halueval,1,Who starred in the 1992 film directed by the director of Cherry Falls for which he gained cult success?,Geoffrey Wright starred in the 1992 film he directed.,Who starred in the 1992 film directed by the director of Cherry Falls for which he gained cult success?,available,halueval_chunk_0471,halueval_chunk_1494,halueval_chunk_0906,"Cherry Falls is a 2000 American slasher film directed by Geoffrey Wright, and starring Brittany Murphy, Jay Mohr, and Michael Biehn.Geoffrey Wright (born 1959) is an Australian film director and screenwriter, who gained cult success with the 1992 film ""Romper Stomper"", which starred Russell Crowe.","Legends of the Fall is a 1994 American epic drama film directed by Edward Zwick and starring Brad Pitt, Anthony Hopkins, Aidan Quinn, Julia Ormond and Henry Thomas. He has received multiple awards and nominations including an Academy Award as producer under his own company Plan B Entertainment.","It was written by series creator Alex Hirsch, alongside Matt Chapman and Tim McKeon, and directed by Joe Pitt and John Aoshima.Gravity Falls is an American animated television series produced by Disney Television Animation originally for Disney Channel (and then later for Disney XD) from June 15, 2012 to February 15, 2016.",0.6640047430992126,0.5149219830830892,0.37131696939468384,0.2818585932254791,0.2073380947113037,0.24655622887129525
halueval-439,halueval,1,"Lookwell was a television pilot written and produced by Conan O'rien and Robert Smigel, and was a personal favorite of what American television executive who was president of NBC from 1980-1991?",Lookwell was almost picked up as a series by David Letterman.,"Lookwell was a television pilot written and produced by Conan O'rien and Robert Smigel, and was a personal favorite of what American television executive who was president of NBC from 1980-1991?",available,halueval_chunk_1184,halueval_chunk_0648,halueval_chunk_0013,"Lookwell was a television pilot written and produced by Conan O'Brien and Robert Smigel, the latter of whom would become a primary creative voice for O'Brien's late night show. Despite being a ""personal favorite"" of NBC chairman Brandon Tartikoff, the pilot was not picked up as a series.Brandon Tartikoff (January 13, 1949 – August 27, 1997) was an American television executive who was the president of NBC from 1980 to 1991.","Vinny Warren is an Irish-born American advertising creative director, most notable for his iconic ""Whassup? The first spot aired during ""Monday Night Football"", December 20, 1999.","Written by Aaron Sorkin and Rick Cleveland and directed by Alex Graves, the episode contains guest appearances by Paul Austin and Raynor Scheine. It also earned Sorkin and Cleveland the Primetime Emmy Award for Outstanding Writing for a Drama Series, as well as one for Richard Schiff.Aaron Benjamin Sorkin (born June 9, 1961) is an American screenwriter, director, producer and playwright. His works include the Broadway plays ""A Few Good Men"" and ""The Farnsworth Invention""; the television series ""Sports Night"", ""The West Wing"", ""Studio 60 on the Sunset Strip"" and ""The Newsroom""; and the films ""A Few Good Men"", ""The American President"", ""Charlie Wilson's War"", ""Moneyball"" and ""Steve Jobs"".",0.8285950422286987,0.5418217380841573,0.5538336038589478,0.4146813452243805,0.4110839366912842,0.4589037783771772
