id,source_dataset,prompt,context,original_response,original_label,generation_index,generated_response,normalized_response
halueval-8758,halueval,Kevin Smith was a member of a team that defeated what American Football Conference champions?,"Kevin Smith (born July 25, 1969) is a former tight end in the National Football League. As such, he was a member of the Super Bowl XXXI Champion Packers.Super Bowl XXXI was an American football game between the American Football Conference (AFC) champion New England Patriots and the National Football Conference (NFC) champion Green Bay Packers to decide the National Football League (NFL) champion for the 1996 season.",New England Patriots,0,0,New England Patriots.,new england patriots
halueval-8758,halueval,Kevin Smith was a member of a team that defeated what American Football Conference champions?,"Kevin Smith (born July 25, 1969) is a former tight end in the National Football League. As such, he was a member of the Super Bowl XXXI Champion Packers.Super Bowl XXXI was an American football game between the American Football Conference (AFC) champion New England Patriots and the National Football Conference (NFC) champion Green Bay Packers to decide the National Football League (NFL) champion for the 1996 season.",New England Patriots,0,1,New England Patriots.,new england patriots
halueval-8758,halueval,Kevin Smith was a member of a team that defeated what American Football Conference champions?,"Kevin Smith (born July 25, 1969) is a former tight end in the National Football League. As such, he was a member of the Super Bowl XXXI Champion Packers.Super Bowl XXXI was an American football game between the American Football Conference (AFC) champion New England Patriots and the National Football Conference (NFC) champion Green Bay Packers to decide the National Football League (NFL) champion for the 1996 season.",New England Patriots,0,2,The Packers.,the packers
halueval-8758,halueval,Kevin Smith was a member of a team that defeated what American Football Conference champions?,"Kevin Smith (born July 25, 1969) is a former tight end in the National Football League. As such, he was a member of the Super Bowl XXXI Champion Packers.Super Bowl XXXI was an American football game between the American Football Conference (AFC) champion New England Patriots and the National Football Conference (NFC) champion Green Bay Packers to decide the National Football League (NFL) champion for the 1996 season.",New England Patriots,0,3,The Green Bay Packers.,the green bay packers
halueval-8758,halueval,Kevin Smith was a member of a team that defeated what American Football Conference champions?,"Kevin Smith (born July 25, 1969) is a former tight end in the National Football League. As such, he was a member of the Super Bowl XXXI Champion Packers.Super Bowl XXXI was an American football game between the American Football Conference (AFC) champion New England Patriots and the National Football Conference (NFC) champion Green Bay Packers to decide the National Football League (NFL) champion for the 1996 season.",New England Patriots,0,4,New England Patriots.,new england patriots
fever_192759,fever,Verify whether the following claim is supported by factual evidence.,"[[[225535, 230166, ""The_Colbert_Report"", 11]]]",The Colbert Report was taped Monday through Friday.,1,0,"No, the claim is not supported by factual evidence. The *Colbert Report* was taped between June 15, 2009, and October 29, 2009, which spans over three weeks. Therefore, it was not taped Monday through Friday, as this would only be six days.",no the claim is not supported by factual evidence the colbert report was taped between june 15 2009 and october 29 2009 which spans over three weeks therefore it was not taped monday through friday as this would only be six days
fever_192759,fever,Verify whether the following claim is supported by factual evidence.,"[[[225535, 230166, ""The_Colbert_Report"", 11]]]",The Colbert Report was taped Monday through Friday.,1,1,"No, the claim is not supported by factual evidence. The Colbert Show was broadcast over the air on October 25, 1986, and began airing on October 26, 1986. The series was not taped; it was live television production.",no the claim is not supported by factual evidence the colbert show was broadcast over the air on october 25 1986 and began airing on october 26 1986 the series was not taped it was live television production
fever_192759,fever,Verify whether the following claim is supported by factual evidence.,"[[[225535, 230166, ""The_Colbert_Report"", 11]]]",The Colbert Report was taped Monday through Friday.,1,2,"No, the claim is not supported by factual evidence. The Colbert Report was taped from October 21, 2010, to January 26, 2011. It was broadcast on Monday through Friday, but the recording sessions took place on Saturdays and Sundays, and the show premiered on February 3, 2011, on Thursday.",no the claim is not supported by factual evidence the colbert report was taped from october 21 2010 to january 26 2011 it was broadcast on monday through friday but the recording sessions took place on saturdays and sundays and the show premiered on february 3 2011 on thursday
fever_192759,fever,Verify whether the following claim is supported by factual evidence.,"[[[225535, 230166, ""The_Colbert_Report"", 11]]]",The Colbert Report was taped Monday through Friday.,1,3,"The Colbert Report was not taped Monday through Friday. It was filmed from November 16, 2005, to November 20, 2005, and aired on NBC on November 20, 2005.",the colbert report was not taped monday through friday it was filmed from november 16 2005 to november 20 2005 and aired on nbc on november 20 2005
fever_192759,fever,Verify whether the following claim is supported by factual evidence.,"[[[225535, 230166, ""The_Colbert_Report"", 11]]]",The Colbert Report was taped Monday through Friday.,1,4,"The Colbert Report was taped on **Sunday** through **Wednesday**, with **Thursday** being the only Saturday broadcast. It was not taped Monday through Friday.",the colbert report was taped on sunday through wednesday with thursday being the only saturday broadcast it was not taped monday through friday
halueval-8221,halueval,Orden Satany was the album produced by the leader of which band?,"Originally released in 1988 as a self-published cassette, produced by Stas Namin. He’s one of the founders of Russian rock music, the creator and leader of the legendary band The Flowers, which has sold more than 60 million records on the territory of the USSR and Eastern Bloc countries over its half-century of existence, and the author of many popular songs including ""Summer Evening"", ""Nostalgia for the Present"" and ""We Wish You Happiness!""",Orden Satany was the album produced by Stas Namin.,1,0,Orden Satany was the album produced by the leader of The Flowers.,orden satany was the album produced by the leader of the flowers
